NomeDP,Tempo,Valor,Processado,Comentário
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:14,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:16,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:19,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:20,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:21,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:22,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:23,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:24,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:25,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:26,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:28,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:29,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:30,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:32,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:33,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:34,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:35,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:36,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:39,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:40,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:41,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:42,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:43,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:46,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:48,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:50,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:51,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:52,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:53,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:55,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:56,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:58,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:48:59,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:00,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:01,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:02,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:03,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:04,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:05,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:08,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:10,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:11,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:12,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:13,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:14,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:15,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:16,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:18,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:19,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:20,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:21,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:22,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:23,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:24,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:25,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:26,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:28,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:29,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:30,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:33,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:35,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:41,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:42,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:43,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:46,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:48,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:50,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:51,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:52,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:53,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:54,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:55,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:56,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:49:59,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:00,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:01,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:02,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:03,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:04,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:05,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:10,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:12,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:13,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:14,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:15,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:19,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:21,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:23,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:24,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:25,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:28,6.89600000000064,"6,9",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:29,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:32,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:34,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:36,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:40,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:41,33.34900000000198,"33,35",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:42,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:44,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:45,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:46,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:48,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:49,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:50,165.6140000000014,"165,61",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:51,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:52,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:55,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:56,112.70799999999872,"112,71",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:50:58,86.25499999999738,"86,25",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:51:00,59.80199999999604,"59,8",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:51:01,139.16100000000006,"139,16",
Freio_prony_ESP32_wifi_modbus - torque1,2025/06/13 09:51:02,112.70799999999872,"112,71",
